Team,Wins,Losses
Mississippi,2,10
Michigan State,11,3
Kent State,5,7
Minnesota,3,9
Georgia State,3,8
Illinois,7,6
William + Mary,5,6
Toledo,9,4
UTEP,5,7
Miami (Ohio),4,8
San Jose State,5,7
Clemson,10,4
Bucknell,6,5
Central Michigan,3,9
Brown,7,3
San Diego State,8,5
Columbia,1,9
Tulsa,8,5
Kansas,2,10
Florida State,9,4
Connecticut,5,7
Harvard,9,1
Utah State,7,6
West Virginia,10,3
UAB,3,9
SMU,8,5
West Texas A+M,8,3
Wyoming,8,5
Tulane,2,11
BYU,10,3
Drake,9,2
South Carolina,11,2
Missouri,8,5
Louisiana-Monroe,4,8
Montana State,10,3
Cincinnati,10,3
Wake Forest,6,7
Florida Atlantic,1,11
VMI,2,9
Air Force,7,6
Grinnell,5,5
Troy,3,9
South Florida,5,7
Villanova,2,9
The Citadel,4,7
Army,3,9
Washington,7,6
Dartmouth,5,5
Indiana,1,11
Maryland,2,10
Colorado Mines,4,7
Boston College,4,8
Arizona,4,8
Iowa,7,6
Texas State,6,6
Pittsburgh,6,7
Michigan,11,2
Purdue,7,6
Colorado State,3,9
Middle Tennessee,2,10
Oregon,12,2
LSU,13,1
UMass,5,6
Arkansas State,10,3
East Carolina,5,7
Syracuse,5,7
Northwestern,6,7
Southern Mississippi,12,2
Florida,7,6
Baylor,10,3
Ohio,10,4
Buffalo,3,9
Iowa State,6,7
Duquesne,9,2
Virginia,8,5
Dayton,6,5
Northern Illinois,11,3
North Carolina,7,6
Washington + Lee,8,2
Georgia Tech,8,5
Navy,5,7
Virginia Tech,11,3
TCU,11,2
Cornell,5,5
Oklahoma,10,3
Vanderbilt,6,7
Richmond,3,8
Louisville,7,6
Arkansas,11,2
New Mexico,1,11
Stanford,11,2
Washington State,4,8
Carnegie Tech,5,5
Temple,9,4
Davidson,4,7
Oklahoma State,12,1
Miami (Florida),6,6
Centre,9,2
Western Kentucky,7,5
Sewanee,5,5
Oregon State,3,9
California,7,6
Akron,1,11
Memphis,2,10
Georgia,10,4
Princeton,1,9
Pennsylvania,5,5
Rutgers,9,4
Western Michigan,7,6
Ball State,6,6
UNLV,2,10
Notre Dame,8,5
Duke,3,9
Colorado,3,10
Mississippi State,7,6
Old Dominion,10,3
Marshall,7,6
Bowling Green,5,7
UCLA,6,8
Auburn,8,5
Eastern Michigan,6,6
Texas A&M,7,6
Texas,8,5
North Texas,5,7
Nevada,7,6
Boise State,12,1
Colgate,5,6
North Carolina State,8,5
USC,10,2
Washington + Jefferson,6,4
Chicago,5,5
South Alabama,6,4
Hardin-Simmons,6,4
Idaho,2,10
Hawai'i,6,7
Rice,4,8
Utah,8,5
Louisiana Tech,8,5
Arizona State,6,7
Western State,1,10
UCF,5,7
UTSA,4,6
Furman,6,5
Ohio State,6,7
Louisiana-Lafayette,9,4
Florida International,8,5
Georgetown,8,3
Georgia Southern,11,3
Northern Colorado,0,11
Kentucky,5,7
Penn State,9,4
Nebraska,9,4
Lafayette,4,7
Yale,5,5
New Mexico State,4,9
Wisconsin,11,3
Alabama,12,1
Holy Cross,6,5
Houston,13,1
Fresno State,4,9
Fordham,1,10
Washington-Missouri,6,4
Kansas State,10,3
Tennessee,5,7
Montana,11,3
Texas Tech,5,7
